step,inner_step,batch_acc
1,1,0.0
2,1,0.001953125
3,1,0.0
4,1,0.0
5,1,0.0
6,1,0.0
7,1,0.0
8,1,0.0
9,1,0.0
10,1,0.0
1,1,0.5927734375
2,1,0.427734375
3,1,0.5263671875
4,1,0.6572265625
5,1,0.6884765625
6,1,0.6298828125
7,1,0.7705078125
8,1,0.740234375
9,1,0.689453125
10,1,0.75390625
